,Latitude,Longitude,num_crimes_comm_area,num_complaints_comm_area,PERCENT HOUSEHOLDS BELOW POVERTY,PERCENT AGED 16+ UNEMPLOYED,Low Birth Weight,Prenatal Care Beginning in First Trimester,Preterm Births,Firearm-related,Tuberculosis,canvass fail rate,complaint fail rate,num prev canvass inspections,num prev complaint inspections,last inspection fail,inspection-complaint interaction,inspection-fail interaction,consec-fail interaction,Facility Type_Grocery Store,Facility Type_Restaurant,Risk_Risk 1 (High),Risk_Risk 2 (Medium),Results_Fail,Inspection Date,Facility Type_Daycare 2,lat_long_interaction
3,41.6888481194,-87.6228936895,6536.0,2899.0,19.8,20.3,12.2,69.0,12.8,37.7,7.9,0.333333333333,0.337701612903,3.0,0.0,1,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,2012-01-13,1.0,-3652.8975068
10,41.7435467579,-87.6242521859,5959.0,2265.0,27.8,24.0,15.4,72.5,15.6,37.9,8.2,0.166666666667,0.25,6.0,4.0,0,40.0,20.0,0.0,0.0,1.0,1.0,0.0,1.0,2016-01-06,0.0,-3657.74706825
15,41.899030982,-87.6281922749,8916.0,1185.0,12.9,7.0,8.6,69.7,9.6,3.2,5.5,0.0,0.337701612903,4.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2015-10-22,0.0,-3671.53634302
16,41.899030982,-87.6281922749,8916.0,1185.0,12.9,7.0,8.6,69.7,9.6,3.2,5.5,0.205235807782,0.337701612903,0.0,0.0,0,0.0,0.0,0.102617903891,0.0,1.0,0.0,1.0,0.0,2016-06-29,0.0,-3671.53634302
18,41.899030982,-87.6281922749,8916.0,1185.0,12.9,7.0,8.6,69.7,9.6,3.2,5.5,0.0,0.337701612903,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2015-08-25,0.0,-3671.53634302
30,41.8781101565,-87.627534546,7511.0,578.0,14.7,5.7,5.3,78.2,6.9,4.0,6.5,0.272727272727,0.337701612903,11.0,0.0,0,0.0,33.0,0.545454545455,0.0,1.0,1.0,0.0,0.0,2016-03-16,0.0,-3669.67554446
36,41.8781101565,-87.627534546,7511.0,578.0,14.7,5.7,5.3,78.2,6.9,4.0,6.5,0.0,1.0,5.0,1.0,0,6.0,6.0,0.0,0.0,1.0,0.0,1.0,0.0,2016-09-02,0.0,-3669.67554446
43,41.8867075551,-87.6278834784,7511.0,578.0,14.7,5.7,5.3,78.2,6.9,4.0,6.5,0.0,0.337701612903,6.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2016-04-14,0.0,-3670.44352893
48,41.8867075551,-87.6278834784,7511.0,578.0,14.7,5.7,5.3,78.2,6.9,4.0,6.5,0.0,0.0,4.0,2.0,0,12.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2015-10-07,0.0,-3670.44352893
54,41.881967467,-87.6351654428,7511.0,578.0,14.7,5.7,5.3,78.2,6.9,4.0,6.5,0.2,0.337701612903,5.0,0.0,0,0.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,2014-04-30,0.0,-3670.33314804
56,41.881967467,-87.6351654428,7511.0,578.0,14.7,5.7,5.3,78.2,6.9,4.0,6.5,0.0,0.337701612903,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2016-04-27,0.0,-3670.33314804
61,41.8818156316,-87.647214717,7840.0,1755.0,20.6,10.7,9.0,77.6,10.5,9.3,14.1,0.0,0.0,4.0,1.0,0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2013-08-09,0.0,-3670.8244874
64,41.8818156316,-87.647214717,7840.0,1755.0,20.6,10.7,9.0,77.6,10.5,9.3,14.1,0.5,0.333333333333,2.0,3.0,0,15.0,10.0,0.5,1.0,0.0,1.0,0.0,0.0,2013-08-09,0.0,-3670.8244874
65,41.8818156316,-87.647214717,7840.0,1755.0,20.6,10.7,9.0,77.6,10.5,9.3,14.1,0.205235807782,0.337701612903,0.0,0.0,0,0.0,0.0,0.102617903891,1.0,0.0,1.0,0.0,0.0,2016-02-18,0.0,-3670.8244874
66,41.8818156316,-87.647214717,7840.0,1755.0,20.6,10.7,9.0,77.6,10.5,9.3,14.1,0.205235807782,0.337701612903,0.0,0.0,0,0.0,0.0,0.102617903891,1.0,0.0,1.0,0.0,0.0,2016-02-18,0.0,-3670.8244874
67,41.8819900738,-87.6322128759,7511.0,578.0,14.7,5.7,5.3,78.2,6.9,4.0,6.5,0.205235807782,0.337701612903,0.0,0.0,0,0.0,0.0,0.102617903891,0.0,0.0,0.0,0.0,1.0,2010-12-02,0.0,-3670.21146981
73,41.8819900738,-87.6322128759,7511.0,578.0,14.7,5.7,5.3,78.2,6.9,4.0,6.5,0.2,0.0,5.0,1.0,0,6.0,6.0,0.0,0.0,1.0,1.0,0.0,1.0,2015-07-07,0.0,-3670.21146981
75,41.8819900738,-87.6322128759,7511.0,578.0,14.7,5.7,5.3,78.2,6.9,4.0,6.5,0.0,0.337701612903,1.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2012-11-05,0.0,-3670.21146981
76,41.8814369069,-87.6659213595,7840.0,1755.0,20.6,10.7,9.0,77.6,10.5,9.3,14.1,0.205235807782,0.337701612903,0.0,0.0,0,0.0,0.0,0.102617903891,0.0,0.0,1.0,0.0,0.0,2016-07-29,1.0,-3671.5747543
79,41.8821176335,-87.6276736122,7511.0,578.0,14.7,5.7,5.3,78.2,6.9,4.0,6.5,0.0,0.337701612903,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2013-02-26,0.0,-3670.03253418
